"Tabela 10295 - Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a), valor do rendimento domiciliar mensal per capita, médio e mediano, por sexo, cor ou raça e grupos de idade"
"Variável - Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) (Reais)"
"Nível";"Cód.";"Município";"Grupo de idade";"Ano x Sexo x Cor ou raça"
"Nível";"Cód.";"Município";"Grupo de idade";"2022"
"Nível";"Cód.";"Município";"Grupo de idade";"Total"
"Nível";"Cód.";"Município";"Grupo de idade";"Total"
"MU";"1503754";"Jacareacanga (PA)";"Total";"787,87"
"MU";"1503804";"Jacundá (PA)";"Total";"905,18"
"MU";"1503903";"Juruti (PA)";"Total";"713,05"
"MU";"1504000";"Limoeiro do Ajuru (PA)";"Total";"463,89"
"MU";"1504059";"Mãe do Rio (PA)";"Total";"786,61"
"MU";"1504109";"Magalhães Barata (PA)";"Total";"619,04"
"MU";"1504208";"Marabá (PA)";"Total";"1137,50"
"MU";"1504307";"Maracanã (PA)";"Total";"634,79"
"MU";"1504406";"Marapanim (PA)";"Total";"576,69"
"MU";"1504422";"Marituba (PA)";"Total";"883,71"
"MU";"1504455";"Medicilândia (PA)";"Total";"763,10"
"MU";"1504505";"Melgaço (PA)";"Total";"476,85"
"MU";"1504604";"Mocajuba (PA)";"Total";"694,48"
"MU";"1504703";"Moju (PA)";"Total";"626,33"
"MU";"1504752";"Mojuí dos Campos (PA)";"Total";"705,92"
"MU";"1504802";"Monte Alegre (PA)";"Total";"687,01"
"MU";"1504901";"Muaná (PA)";"Total";"505,26"
"MU";"1504950";"Nova Esperança do Piriá (PA)";"Total";"535,30"
"MU";"1504976";"Nova Ipixuna (PA)";"Total";"824,87"
"MU";"1505007";"Nova Timboteua (PA)";"Total";"709,95"
"MU";"1505031";"Novo Progresso (PA)";"Total";"1274,42"
